Date,Temperature
May 10,90
May 11,73
May 12,65
May 13,72
May 14,69
May 15,83
May 16,81
May 17,80
May 18,81
May 19,74
May 20,75
May 21,78
May 22,72
May 23,71
May 24,75
May 25,82
May 26,83
May 27,87
May 28,91
May 29,85
May 30,88
